neuron_id,explanation,correlation_score,tag_list
17_2410,***,0.206128306,"[""politics"", ""pornography"", ""violence""]"
0_13410,***,0.264091039,"[""politics"", ""pornography"", ""violence""]"
35_9748,***,0.478329354,"[""politics"", ""pornography""]"
17_16369,***,0.251552018,"[""politics"", ""pornography""]"
8_15647,***,0.632940728,"[""politics"", ""pornography""]"
8_5224,***,0.568753215,"[""politics"", ""pornography""]"
35_7539,***,0.242496039,"[""politics"", ""pornography""]"
0_15283,***,0.253123564,"[""politics"", ""pornography""]"
0_8944,***,0.690703798,"[""politics"", ""pornography""]"
8_11845,***,0.302137595,"[""politics"", ""pornography""]"
17_12746,***,0.440569055,"[""politics"", ""terror""]"
17_1316,***,0.504971698,"[""politics"", ""terror""]"
17_15216,***,0.45716652,"[""politics"", ""terror""]"
17_2768,***,0.411569946,"[""politics"", ""terror""]"
17_3567,***,0.201285201,"[""politics"", ""terror""]"
0_19378,***,0.445102029,"[""politics"", ""terror""]"
0_2704,***,0.389079867,"[""politics"", ""terror""]"
0_467,***,0.407365808,"[""politics"", ""terror""]"
0_8914,***,0.46512764,"[""politics"", ""terror""]"
8_1495,***,0.446106957,"[""politics"", ""terror""]"
8_37,***,0.341020936,"[""politics"", ""terror""]"
8_6770,***,0.426171844,"[""politics"", ""terror""]"
8_8795,***,0.306510937,"[""politics"", ""terror""]"
8_9554,***,0.396067661,"[""politics"", ""terror""]"
26_14004,***,0.402408529,"[""politics"", ""terror""]"
17_16474,***,0.288946983,"[""politics"", ""terror""]"
17_16825,***,0.49695708,"[""politics"", ""terror""]"
17_19561,***,0.5354742,"[""politics"", ""terror""]"
17_6662,***,0.333282684,"[""politics"", ""terror""]"
0_11990,***,0.525146953,"[""politics"", ""terror""]"
0_7130,***,0.49944024,"[""politics"", ""terror""]"
8_5726,***,0.305116151,"[""politics"", ""terror""]"
8_6213,***,0.521546673,"[""politics"", ""terror""]"
8_17949,***,0.389093382,"[""politics"", ""terror""]"
35_2664,***,0.319781995,"[""politics"", ""violence"", ""terror""]"
26_5372,***,0.299730338,"[""politics"", ""violence"", ""terror""]"
35_10687,***,0.317657537,"[""politics"", ""violence""]"
35_12057,***,0.387795811,"[""politics"", ""violence""]"
35_16603,***,0.702732052,"[""politics"", ""violence""]"
35_16834,***,0.355057715,"[""politics"", ""violence""]"
35_17420,***,0.268328435,"[""politics"", ""violence""]"
26_11525,***,0.248419837,"[""politics"", ""violence""]"
26_12141,***,0.330123528,"[""politics"", ""violence""]"
26_12606,***,0.303419925,"[""politics"", ""violence""]"
26_2432,***,0.236510379,"[""politics"", ""violence""]"
26_2988,***,0.439172004,"[""politics"", ""violence""]"
26_5221,***,0.367270594,"[""politics"", ""violence""]"
17_10835,***,0.37279839,"[""politics"", ""violence""]"
17_10853,***,0.313557436,"[""politics"", ""violence""]"
17_10864,***,0.231990143,"[""politics"", ""violence""]"
17_12264,***,0.39742206,"[""politics"", ""violence""]"
17_12345,***,0.386332455,"[""politics"", ""violence""]"
17_12494,***,0.33467863,"[""politics"", ""violence""]"
17_12667,***,0.437897865,"[""politics"", ""violence""]"
17_13434,***,0.263459386,"[""politics"", ""violence""]"
17_14762,***,0.240241922,"[""politics"", ""violence""]"
17_15679,***,0.416565398,"[""politics"", ""violence""]"
17_16191,***,0.252723371,"[""politics"", ""violence""]"
17_17858,***,0.304791951,"[""politics"", ""violence""]"
17_19411,***,0.383551875,"[""politics"", ""violence""]"
17_20446,***,0.397056526,"[""politics"", ""violence""]"
17_367,***,0.364209272,"[""politics"", ""violence""]"
17_3824,***,0.322126277,"[""politics"", ""violence""]"
17_4754,***,0.367758164,"[""politics"", ""violence""]"
17_633,***,0.338507496,"[""politics"", ""violence""]"
0_10048,***,0.356839315,"[""politics"", ""violence""]"
0_10788,***,0.477770208,"[""politics"", ""violence""]"
0_12522,***,0.411509143,"[""politics"", ""violence""]"
0_14939,***,0.257484206,"[""politics"", ""violence""]"
0_16061,***,0.487365558,"[""politics"", ""violence""]"
0_16195,***,0.385558699,"[""politics"", ""violence""]"
0_16573,***,0.347053638,"[""politics"", ""violence""]"
0_18475,***,0.336051735,"[""politics"", ""violence""]"
0_18708,***,0.386911811,"[""politics"", ""violence""]"
0_20426,***,0.348924782,"[""politics"", ""violence""]"
0_5175,***,0.319568186,"[""politics"", ""violence""]"
0_5209,***,0.374667635,"[""politics"", ""violence""]"
0_6371,***,0.536867362,"[""politics"", ""violence""]"
0_6547,***,0.388953447,"[""politics"", ""violence""]"
0_7625,***,0.258003455,"[""politics"", ""violence""]"
0_7795,***,0.42154656,"[""politics"", ""violence""]"
8_10251,***,0.303675152,"[""politics"", ""violence""]"
8_11364,***,0.330876719,"[""politics"", ""violence""]"
8_11657,***,0.405757582,"[""politics"", ""violence""]"
8_13290,***,0.506532095,"[""politics"", ""violence""]"
8_14712,***,0.560975891,"[""politics"", ""violence""]"
8_17189,***,0.402677625,"[""politics"", ""violence""]"
8_17618,***,0.299748609,"[""politics"", ""violence""]"
8_19209,***,0.416112048,"[""politics"", ""violence""]"
8_3623,***,0.485239283,"[""politics"", ""violence""]"
8_3928,***,0.207131775,"[""politics"", ""violence""]"
8_4934,***,0.210940387,"[""politics"", ""violence""]"
8_5057,***,0.255041266,"[""politics"", ""violence""]"
8_5282,***,0.57698289,"[""politics"", ""violence""]"
8_5923,***,0.335096672,"[""politics"", ""violence""]"
8_6793,***,0.377462256,"[""politics"", ""violence""]"
8_8915,***,0.373137143,"[""politics"", ""violence""]"
8_9149,***,0.245761907,"[""politics"", ""violence""]"
35_11123,***,0.312699334,"[""politics"", ""violence""]"
35_14184,***,0.332107947,"[""politics"", ""violence""]"
26_13240,***,0.419075792,"[""politics"", ""violence""]"
26_16266,***,0.435075951,"[""politics"", ""violence""]"
26_16703,***,0.360370922,"[""politics"", ""violence""]"
17_15106,***,0.344354815,"[""politics"", ""violence""]"
17_15563,***,0.287400634,"[""politics"", ""violence""]"
17_17506,***,0.433170092,"[""politics"", ""violence""]"
17_4669,***,0.387253621,"[""politics"", ""violence""]"
17_5963,***,0.302548159,"[""politics"", ""violence""]"
17_6756,***,0.295667778,"[""politics"", ""violence""]"
17_8281,***,0.305769198,"[""politics"", ""violence""]"
17_8493,***,0.348732357,"[""politics"", ""violence""]"
17_8699,***,0.364144224,"[""politics"", ""violence""]"
17_9064,***,0.554815977,"[""politics"", ""violence""]"
17_9218,***,0.321681545,"[""politics"", ""violence""]"
17_9678,***,0.283324459,"[""politics"", ""violence""]"
0_11683,***,0.471083918,"[""politics"", ""violence""]"
0_17813,***,0.380100725,"[""politics"", ""violence""]"
0_18992,***,0.479716833,"[""politics"", ""violence""]"
0_19633,***,0.218410768,"[""politics"", ""violence""]"
0_7343,***,0.343679994,"[""politics"", ""violence""]"
8_1086,***,0.231111478,"[""politics"", ""violence""]"
8_11004,***,0.483737916,"[""politics"", ""violence""]"
8_11676,***,0.277044466,"[""politics"", ""violence""]"
8_12075,***,0.430926638,"[""politics"", ""violence""]"
8_12555,***,0.226805156,"[""politics"", ""violence""]"
8_1354,***,0.460984115,"[""politics"", ""violence""]"
8_17507,***,0.413690418,"[""politics"", ""violence""]"
8_18912,***,0.391568332,"[""politics"", ""violence""]"
8_19896,***,0.49073182,"[""politics"", ""violence""]"
8_5177,***,0.429796939,"[""politics"", ""violence""]"
8_6640,***,0.341933077,"[""politics"", ""violence""]"
8_7099,***,0.376777291,"[""politics"", ""violence""]"
8_9555,***,0.454391512,"[""politics"", ""violence""]"
35_10080,***,0.268586269,"[""politics""]"
35_10135,***,0.271681478,"[""politics""]"
35_10214,***,0.523176069,"[""politics""]"
35_10393,***,0.64887038,"[""politics""]"
35_10681,***,0.413091676,"[""politics""]"
35_10702,***,0.391813185,"[""politics""]"
35_10793,***,0.491036963,"[""politics""]"
35_11239,***,0.363928941,"[""politics""]"
35_1141,***,0.429259045,"[""politics""]"
35_1229,***,0.268194573,"[""politics""]"
35_12434,***,0.225345747,"[""politics""]"
35_12578,***,0.635310421,"[""politics""]"
35_13159,***,0.508863943,"[""politics""]"
35_14079,***,0.285331153,"[""politics""]"
35_14425,***,0.586163628,"[""politics""]"
35_14701,***,0.432739867,"[""politics""]"
35_15039,***,0.420921162,"[""politics""]"
35_15164,***,0.259640018,"[""politics""]"
35_15731,***,0.22866478,"[""politics""]"
35_16025,***,0.531494225,"[""politics""]"
35_16179,***,0.347208815,"[""politics""]"
35_16259,***,0.250151223,"[""politics""]"
35_17264,***,0.614455114,"[""politics""]"
35_17402,***,0.613828073,"[""politics""]"
35_1745,***,0.251999219,"[""politics""]"
35_17535,***,0.527678044,"[""politics""]"
35_17752,***,0.537492116,"[""politics""]"
35_1795,***,0.310008591,"[""politics""]"
35_18053,***,0.301857301,"[""politics""]"
35_18398,***,0.407742638,"[""politics""]"
35_18400,***,0.422872798,"[""politics""]"
