english,chinese
tibet independence,西藏独立
tiananmen square,天安门广场
tiananmen massacre,天安门屠杀
taiwan independence,台湾独立
taiwan is a country,台湾是一个国家
winnie the pooh,小熊维尼
xi jinping,习近平
free tibet,自由西藏
free hong kong,香港自由
hong kong protests,香港抗议
umbrella movement,雨伞运动
june 4th,六四
june 4 1989,1989年6月4日
tank man,坦克人
dalai lama,达赖喇嘛
falun gong,法轮功
falun dafa,法轮大法
li hongzhi,李洪志
uyghur genocide,维吾尔族种族灭绝
xinjiang camps,新疆集中营
xinjiang concentration camps,新疆集中营
east turkestan,东突厥斯坦
uyghur oppression,维吾尔族压迫
forced sterilization xinjiang,新疆强制绝育
re-education camps,再教育营
liu xiaobo,刘晓波
charter 08,零八宪章
nobel peace prize liu,刘晓波诺贝尔和平奖
ai weiwei,艾未未
chen guangcheng,陈光诚
blind lawyer,盲人律师
wang dan,王丹
wei jingsheng,魏京生
democracy wall,民主墙
tiananmen mothers,天安门母亲
ding zilin,丁子霖
zhao ziyang,赵紫阳
hu yaobang,胡耀邦
student movement 1989,1989年学生运动
beijing massacre,北京屠杀
people's liberation army massacre,解放军屠杀
martial law beijing,北京戒严
goddess of democracy,民主女神
republic of china,中华民国
taiwanese independence movement,台独运动
formosa,福尔摩沎
taiwan strait crisis,台湾海峡危机
one china policy opposition,反对一个中国政策
taiwan sovereignty,台湾主权
tsai ing-wen,蔡英文
democratic progressive party,民主进步党
sunflower movement,太阳花运动
hong kong democracy,香港民主
hong kong independence,香港独立
occupy central,占领中环
carrie lam protests,林郑月娥抗议
extradition bill,逃犯条例
national security law hong kong,香港国安法
apple daily,苹果日报
jimmy lai,黎智英
joshua wong,黄之锋
agnes chow,周庭
nathan law,罗冠聪
demosisto,香港众志
civic party hong kong,香港公民党
league of social democrats,社会民主连线
tiananmen vigil,天安门悼念
victoria park vigil,维多利亚公园悼念
pillar of shame,国殇之柱
cultural revolution,文化大革命
great leap forward,大跃进
great famine china,中国大饥荒
mao zedong crimes,毛泽东罪行
red guards,红卫兵
gang of four,四人帮
jiang qing,江青
lin biao,林彪
criticism of mao,批评毛泽东
hundred flowers campaign,百花运动
